REG;Région;DEP;CODCOM;Commune;CODFRAC_CAN;FRAC_CAN;Fraction cantonale;PMUN;PCAP;PTOT
93;Provence-Alpes-Côte d'Azur;13;103;Salon-de-Provence;27;1310327;Salon-de-Provence-2;25840;321;26161
28;Normandie;14;027;Les Monts d'Aunay;01;1402701;Les Monts d’Aunay;4233;57;4290
28;Normandie;14;118;Caen;05;1411805;Caen-1;18165;318;18483
28;Normandie;14;118;Caen;06;1411806;Caen-2;19726;228;19954
28;Normandie;14;118;Caen;07;1411807;Caen-3;25796;982;26778
28;Normandie;14;118;Caen;08;1411808;Caen-4;27967;433;28400
28;Normandie;14;118;Caen;09;1411809;Caen-5;16546;196;16742
28;Normandie;14;027;Les Monts d'Aunay;10;1402710;Condé-en-Normandie;321;7;328
84;Auvergne-Rhône-Alpes;15;014;Aurillac;02;1501402;Aurillac-1;6021;169;6190
84;Auvergne-Rhône-Alpes;15;014;Aurillac;03;1501403;Aurillac-2;9646;836;10482
84;Auvergne-Rhône-Alpes;15;014;Aurillac;04;1501404;Aurillac-3;10148;286;10434
84;Auvergne-Rhône-Alpes;15;187;Saint-Flour;11;1518711;Saint-Flour-1;1705;112;1817
84;Auvergne-Rhône-Alpes;15;187;Saint-Flour;12;1518712;Saint-Flour-2;4718;427;5145
75;Nouvelle-Aquitaine;16;015;Angoulême;01;1601501;Angoulême-1;14734;405;15139
75;Nouvelle-Aquitaine;16;015;Angoulême;02;1601502;Angoulême-2;13597;557;14154
75;Nouvelle-Aquitaine;16;015;Angoulême;03;1601503;Angoulême-3;12755;667;13422
75;Nouvelle-Aquitaine;16;192;Terres-de-Haute-Charente;06;1619206;Charente-Bonnieure;3105;57;3162
75;Nouvelle-Aquitaine;16;192;Terres-de-Haute-Charente;10;1619210;Charente-Vienne;724;60;784
75;Nouvelle-Aquitaine;16;102;Cognac;11;1610211;Cognac-1;8588;222;8810
75;Nouvelle-Aquitaine;16;102;Cognac;12;1610212;Cognac-2;9860;181;10041
75;Nouvelle-Aquitaine;17;300;La Rochelle;14;1730014;La Rochelle-1;26301;358;26659
75;Nouvelle-Aquitaine;17;300;La Rochelle;15;1730015;La Rochelle-2;26110;978;27088
75;Nouvelle-Aquitaine;17;300;La Rochelle;16;1730016;La Rochelle-3;26124;739;26863
24;Centre-Val de Loire;18;033;Bourges;03;1803303;Bourges-1;17905;485;18390
24;Centre-Val de Loire;18;033;Bourges;04;1803304;Bourges-2;15343;179;15522
24;Centre-Val de Loire;18;033;Bourges;05;1803305;Bourges-3;13697;544;14241
24;Centre-Val de Loire;18;033;Bourges;06;1803306;Bourges-4;16757;813;17570
24;Centre-Val de Loire;18;279;Vierzon;18;1827918;Vierzon-1;14925;310;15235
24;Centre-Val de Loire;18;279;Vierzon;19;1827919;Vierzon-2;10423;150;10573
75;Nouvelle-Aquitaine;19;031;Brive-la-Gaillarde;03;1903103;Brive-la-Gaillarde-1;11978;367;12345
75;Nouvelle-Aquitaine;19;031;Brive-la-Gaillarde;04;1903104;Brive-la-Gaillarde-2;12709;377;13086
75;Nouvelle-Aquitaine;19;031;Brive-la-Gaillarde;05;1903105;Brive-la-Gaillarde-3;8612;145;8757
75;Nouvelle-Aquitaine;19;031;Brive-la-Gaillarde;06;1903106;Brive-la-Gaillarde-4;13300;357;13657
27;Bourgogne-Franche-Comté;21;231;Dijon;08;2123108;Dijon-1;25234;557;25791
27;Bourgogne-Franche-Comté;21;231;Dijon;09;2123109;Dijon-2;28913;477;29390
27;Bourgogne-Franche-Comté;21;231;Dijon;10;2123110;Dijon-3;24338;592;24930
27;Bourgogne-Franche-Comté;21;231;Dijon;11;2123111;Dijon-4;29395;608;30003
27;Bourgogne-Franche-Comté;21;231;Dijon;12;2123112;Dijon-5;26260;625;26885
27;Bourgogne-Franche-Comté;21;231;Dijon;13;2123113;Dijon-6;25206;445;25651
53;Bretagne;22;093;Lamballe-Armor;06;2209306;Lamballe-Armor;14635;442;15077
53;Bretagne;22;093;Lamballe-Armor;17;2209317;Pléneuf-Val-André;2210;40;2250
53;Bretagne;22;278;Saint-Brieuc;24;2227824;Saint-Brieuc-1;22023;656;22679
53;Bretagne;22;278;Saint-Brieuc;25;2227825;Saint-Brieuc-2;22201;734;22935
75;Nouvelle-Aquitaine;23;096;Guéret;12;2309612;Guéret-1;5234;87;5321
75;Nouvelle-Aquitaine;23;096;Guéret;13;2309613;Guéret-2;7606;526;8132
75;Nouvelle-Aquitaine;24;037;Bergerac;01;2403701;Bergerac-1;17743;561;18304
75;Nouvelle-Aquitaine;24;037;Bergerac;02;2403702;Bergerac-2;8580;189;8769
75;Nouvelle-Aquitaine;24;026;Bassillac et Auberoche;05;2402605;Le Haut-Périgord Noir;1779;26;1805
75;Nouvelle-Aquitaine;24;026;Bassillac et Auberoche;07;2402607;Isle-Manoire;2584;57;2641
75;Nouvelle-Aquitaine;24;312;Sanilhac;07;2431207;Isle-Manoire;4402;99;4501
75;Nouvelle-Aquitaine;24;312;Sanilhac;12;2431212;Périgord Central;272;2;274
75;Nouvelle-Aquitaine;24;322;Périgueux;14;2432214;Périgueux-1;15405;863;16268
75;Nouvelle-Aquitaine;24;322;Périgueux;15;2432215;Périgueux-2;14111;682;14793
27;Bourgogne-Franche-Comté;25;056;Besançon;04;2505604;Besançon-1;22221;424;22645
27;Bourgogne-Franche-Comté;25;056;Besançon;05;2505605;Besançon-2;18079;512;18591
27;Bourgogne-Franche-Comté;25;056;Besançon;06;2505606;Besançon-3;22524;830;23354
27;Bourgogne-Franche-Comté;25;056;Besançon;07;2505607;Besançon-4;24610;468;25078
27;Bourgogne-Franche-Comté;25;056;Besançon;08;2505608;Besançon-5;10922;361;11283
27;Bourgogne-Franche-Comté;25;056;Besançon;09;2505609;Besançon-6;20842;670;21512
84;Auvergne-Rhône-Alpes;26;281;Romans-sur-Isère;01;2628101;Bourg-de-Péage;16775;474;17249
84;Auvergne-Rhône-Alpes;26;198;Montélimar;08;2619808;Montélimar-1;21208;655;21863
84;Auvergne-Rhône-Alpes;26;198;Montélimar;09;2619809;Montélimar-2;19191;471;19662
84;Auvergne-Rhône-Alpes;26;281;Romans-sur-Isère;11;2628111;Romans-sur-Isère;16136;198;16334
84;Auvergne-Rhône-Alpes;26;362;Valence;15;2636215;Valence-1;5659;54;5713
84;Auvergne-Rhône-Alpes;26;362;Valence;16;2636216;Valence-2;16387;420;16807
84;Auvergne-Rhône-Alpes;26;362;Valence;17;2636217;Valence-3;14535;282;14817
84;Auvergne-Rhône-Alpes;26;362;Valence;18;2636218;Valence-4;27902;489;28391
28;Normandie;27;679;Verneuil d'Avre et d'Iton;06;2767906;Breteuil;1158;21;1179
28;Normandie;27;198;Mesnils-sur-Iton;06;2719806;Breteuil;920;12;932
28;Normandie;27;229;Évreux;09;2722909;Évreux-1;17402;734;18136
28;Normandie;27;229;Évreux;10;2722910;Évreux-2;18241;315;18556
28;Normandie;27;229;Évreux;11;2722911;Évreux-3;11646;227;11873
28;Normandie;27;679;Verneuil d'Avre et d'Iton;22;2767922;Verneuil d'Avre et d'Iton;6147;321;6468
28;Normandie;27;198;Mesnils-sur-Iton;22;2719822;Verneuil d'Avre et d'Iton;5225;202;5427
24;Centre-Val de Loire;28;085;Chartres;04;2808504;Chartres-1;16380;399;16779
24;Centre-Val de Loire;28;085;Chartres;05;2808505;Chartres-2;9897;215;10112
24;Centre-Val de Loire;28;085;Chartres;06;2808506;Chartres-3;12170;386;12556
24;Centre-Val de Loire;28;134;Dreux;08;2813408;Dreux-1;10545;133;10678
24;Centre-Val de Loire;28;134;Dreux;09;2813409;Dreux-2;20334;350;20684
53;Bretagne;29;019;Brest;01;2901901;Brest-1;31519;453;31972
53;Bretagne;29;019;Brest;02;2901902;Brest-2;35577;484;36061
53;Bretagne;29;019;Brest;03;2901903;Brest-3;18783;413;19196
53;Bretagne;29;019;Brest;04;2901904;Brest-4;17276;255;17531
53;Bretagne;29;019;Brest;05;2901905;Brest-5;36464;1010;37474
53;Bretagne;29;232;Quimper;23;2923223;Quimper-1;24114;814;24928
53;Bretagne;29;232;Quimper;24;2923224;Quimper-2;39528;1419;40947
94;Corse;2A;004;Ajaccio;01;2A00401;Ajaccio-1;17439;179;17618
94;Corse;2A;004;Ajaccio;02;2A00402;Ajaccio-2;14229;159;14388
94;Corse;2A;004;Ajaccio;03;2A00403;Ajaccio-3;17483;169;17652
94;Corse;2A;004;Ajaccio;04;2A00404;Ajaccio-4;14553;190;14743
94;Corse;2A;004;Ajaccio;05;2A00405;Ajaccio-5;10118;113;10231
94;Corse;2A;247;Porto-Vecchio;06;2A24706;Bavella;5969;91;6060
94;Corse;2A;247;Porto-Vecchio;07;2A24707;Grand Sud;5260;62;5322
94;Corse;2B;033;Bastia;01;2B03301;Bastia-1;10056;134;10190
94;Corse;2B;033;Bastia;02;2B03302;Bastia-2;13707;187;13894
94;Corse;2B;033;Bastia;03;2B03303;Bastia-3;15248;53;15301
94;Corse;2B;033;Bastia;04;2B03304;Bastia-4;9757;234;9991
76;Occitanie;30;007;Alès;02;3000702;Alès-1;13561;281;13842
76;Occitanie;30;007;Alès;03;3000703;Alès-2;13582;137;13719
76;Occitanie;30;007;Alès;04;3000704;Alès-3;16749;145;16894
76;Occitanie;30;189;Nîmes;10;3018910;Nîmes-1;37674;720;38394
76;Occitanie;30;189;Nîmes;11;3018911;Nîmes-2;37538;422;37960
76;Occitanie;30;189;Nîmes;12;3018912;Nîmes-3;35921;475;36396
76;Occitanie;30;189;Nîmes;13;3018913;Nîmes-4;36519;606;37125
76;Occitanie;30;189;Nîmes;19;3018919;Saint-Gilles;452;8;460
76;Occitanie;31;555;Toulouse;15;3155515;Toulouse-1;60318;719;61037
76;Occitanie;31;555;Toulouse;16;3155516;Toulouse-2;57892;397;58289
76;Occitanie;31;555;Toulouse;17;3155517;Toulouse-3;51263;613;51876
76;Occitanie;31;555;Toulouse;18;3155518;Toulouse-4;52380;560;52940
76;Occitanie;31;555;Toulouse;19;3155519;Toulouse-5;47096;302;47398
76;Occitanie;31;555;Toulouse;20;3155520;Toulouse-6;59140;446;59586
76;Occitanie;31;555;Toulouse;21;3155521;Toulouse-7;9898;72;9970
76;Occitanie;31;555;Toulouse;22;3155522;Toulouse-8;69362;667;70029
76;Occitanie;31;555;Toulouse;23;3155523;Toulouse-9;34162;409;34571
76;Occitanie;31;555;Toulouse;24;3155524;Toulouse-10;24251;536;24787
76;Occitanie;31;555;Toulouse;25;3155525;Toulouse-11;38316;401;38717
76;Occitanie;32;013;Auch;04;3201304;Auch-1;7084;556;7640
