REG;Région;DEP;CODCAN;CAN;Canton;NBCOM;PMUN;PTOT
24;Centre-Val de Loire;45;03;4503;Châteauneuf-sur-Loire;14;32192;32720
24;Centre-Val de Loire;45;04;4504;Courtenay;41;36882;37557
24;Centre-Val de Loire;45;05;4505;La Ferté-Saint-Aubin;8;30932;31494
24;Centre-Val de Loire;45;06;4506;Fleury-les-Aubrais;7;34264;34794
24;Centre-Val de Loire;45;07;4507;Gien;26;33779;34502
24;Centre-Val de Loire;45;08;4508;Lorris;38;27294;27882
24;Centre-Val de Loire;45;09;4509;Le Malesherbois;49;36651;37510
24;Centre-Val de Loire;45;10;4510;Meung-sur-Loire;32;36711;37376
24;Centre-Val de Loire;45;11;4511;Montargis;9;30276;31253
24;Centre-Val de Loire;45;12;4512;Olivet;3;32158;32864
24;Centre-Val de Loire;45;13;4513;Orléans-1;1;24171;24490
24;Centre-Val de Loire;45;14;4514;Orléans-2;1;27260;28054
24;Centre-Val de Loire;45;15;4515;Orléans-3;3;35534;36029
24;Centre-Val de Loire;45;16;4516;Orléans-4;1;37101;38061
24;Centre-Val de Loire;45;17;4517;Pithiviers;35;33182;33786
24;Centre-Val de Loire;45;18;4518;Saint-Jean-de-Braye;7;40335;41342
24;Centre-Val de Loire;45;19;4519;Saint-Jean-de-la-Ruelle;3;36567;37247
24;Centre-Val de Loire;45;20;4520;Saint-Jean-le-Blanc;9;28570;29233
24;Centre-Val de Loire;45;21;4521;Sully-sur-Loire;23;31509;32160
76;Occitanie;46;01;4601;Cahors-1;3;11735;12051
76;Occitanie;46;02;4602;Cahors-2;4;9242;9868
76;Occitanie;46;03;4603;Cahors-3;6;11383;11758
76;Occitanie;46;04;4604;Causse et Bouriane;30;9955;10125
76;Occitanie;46;05;4605;Causse et Vallées;44;9544;9765
76;Occitanie;46;06;4606;Cère et Ségala;17;10229;10492
76;Occitanie;46;07;4607;Figeac-1;12;10483;10990
76;Occitanie;46;08;4608;Figeac-2;14;10450;10864
76;Occitanie;46;09;4609;Gourdon;18;11460;11786
76;Occitanie;46;10;4610;Gramat;17;8463;8674
76;Occitanie;46;11;4611;Lacapelle-Marival;32;8718;9003
76;Occitanie;46;12;4612;Luzech;17;10049;10281
